อ๎์ๅ๐ ๐ๅ้๑เ;ส๎ไ เ/๊;ส๎ไ เ/๏;ฤเ๒เ โ๛๋ๅ๒เ;น ไ๎ใ๎โ๎๐เ;ส๎๋-โ๎ ๏เ๑๑.;
ย2981;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;61;
ำ6366;ำ6;ลสม;01.06.24;95หอ/22;136;
ฤ2323;ฤ2;ฯหส;01.06.24;;72;
ศอ1063;ศอ;ลสม;01.06.24;;83;
ัำ1523;ัำ;อำะ;01.06.24;;161;
ัำ1735;ัำ;ฯะห;01.06.24;;397;
ิย6878;ิย;มรู;01.06.24;;0;
Þย642;Þย;ฮอร;01.06.24;;51;
ย2783;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;181;
ศอ1025;ศอ;ลสม;01.06.24;;97;
ศอ2029;ศอ;ลสม;01.06.24;;94;
ศอ1033;ศอ;ลสม;01.06.24;;96;
ัำ796;ัำ;ัสื;01.06.24;;158;
SZ211;SZ;ฤุม;01.06.24;338ภะ/21;160;
ำ6272;ำ6;ลสม;01.06.24;95หอ/22;138;
Þา542;Þา;อำะ;01.06.24;;171;
ศอ1057;ศอ;ลสม;01.06.24;;103;
ำ62865;ำ6;ฬะย;01.06.24;95หอ/22;170;
ศล5685;ศล;ฯะห;01.06.24;;0;
ศอ1069;ศอ;ลสม;01.06.24;;87;
ำ6221;ำ6;ฤฬฤ;01.06.24;95หอ/22;161;
ิย5567;ิย;ัสื;01.06.24;;191;
ำ6053;ำ6;ฯหส;01.06.24;95หอ/22;232;
ำ6773;ำ6;ลสม;01.06.24;95หอ/22;137;
หภ317;หภ;อำะ;01.06.24;;94;
ำ62986;ำ6;มศุ;01.06.24;95หอ/22;61;
ศล5615;ศล;ฯะห;01.06.24;;0;
ิย6230;ิย;อฦั;01.06.24;สหึ-696-22-P07;0;
ย2941;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;96;
ำ6273;ำ6;ฤฬฤ;01.06.24;95หอ/22;155;
ำ6233;ำ6;ฤฬฤ;01.06.24;95หอ/22;157;
ำ67019;ำ6;ฦำส;01.06.24;95หอ/22;130;
5อ505;5อ;ฯหส;01.06.24;;146;
ิย6780;ิย;อำะ;01.06.24;;0;
ย2975;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;131;
ำ6524;ำ6;ัฮื;01.06.24;95หอ/22;133;
5อ537;5อ;ฯหส;01.06.24;;183;
ำ6252;ำ6;ฬะย;01.06.24;95หอ/22;75;
ำ6783;ำ6;ฤฬฤ;01.06.24;95หอ/22;189;
5อ146;5อ;ฯหส;01.06.24;;143;
SZ215;SZ;ฤุม;01.06.24;338ภะ/21;177;
ัำ1603;ัำ;ัสื;01.06.24;;146;
ำ6371;ำ6;ฤฬฤ;01.06.24;95หอ/22;226;
ะร287;ะร;ฯหส;01.06.24;;43;
ิย6106;ิย;อฦั;01.06.24;;0;
5อ531;5อ;ฯหส;01.06.24;;183;
ฤ2120;ฤ2;ฯหส;01.06.24;;52;
ศอ1047;ศอ;ลสม;01.06.24;;98;
ำ62413;ำ6;ัฮื;01.06.24;95หอ/22;149;
Þา105;Þา;ลสม;01.06.24;;52;
5อ507;5อ;ฯหส;01.06.24;;177;
ัำ1411;ัำ;ลสม;01.06.24;;133;
ิย6880;ิย;มรู;01.06.24;;0;
ศอ1256;ศอ;ัสื;01.06.24;;44;
ฤะ332;ฤะ;ัสื;01.06.24;;194;
ำ6261;ำ6;ฤฬฤ;01.06.24;95หอ/22;163;
ำ6274;ำ6;ลสม;01.06.24;95หอ/22;157;
ำ61367;ำ6;ฤฬฤ;01.06.24;95หอ/22;153;
Þย453;Þย;ะฬฮ;01.06.24;;36;
ัำ684;ัำ;ลสม;01.06.24;;136;
ำ6186;ำ6;ัฮื;01.06.24;95หอ/22;149;
5อ509;5อ;ฯหส;01.06.24;;183;
5อ545;5อ;ฯหส;01.06.24;;188;
5อ878;5อ;ฮอร;01.06.24;;180;
ฤะ6862;ฤะ;รัย;01.06.24;;192;
Þา281;Þา;ลสม;01.06.24;;69;
ำ62915;ำ6;ำิภ;01.06.24;95หอ/22;162;
SZ8127;SZ;ฤุม;01.06.24;338ภะ/21;189;
ศอ1935;ศอ;อฦั;01.06.24;;40;
ำ6277;ำ6;ฤฬฤ;01.06.24;95หอ/22;235;
ำ6306;ำ6;ัฮื;01.06.24;95หอ/22;131;
ศอ1309;ศอ;ัสื;01.06.24;;95;
Þย283;Þย;ะฬฮ;01.06.24;;27;
ำ6403;ำ6;ลสม;01.06.24;95หอ/22;132;
ำ68445;ำ6;ฦำส;01.06.24;95หอ/22;223;
ัำ1211;ัำ;ัสื;01.06.24;;148;
ำ6153;ำ6;ฤฬฤ;01.06.24;95หอ/22;220;
ะฤ423;ะฤ;รัย;01.06.24;;98;
าิ866;าิ;ลสม;01.06.24;;0;
ย2961;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;59;
ำ6427;ำ6;ฤฬฤ;01.06.24;95หอ/22;225;
ำ6627;ำ6;ฤฬฤ;01.06.24;95หอ/22;147;
ำ63571;ำ6;ฤฬฤ;01.06.24;95หอ/22;220;
ำ61343;ำ6;ฤฬฤ;01.06.24;95หอ/22;160;
ฤะ330;ฤะ;รัย;01.06.24;;180;
ำ6124;ำ6;ัฮื;01.06.24;95หอ/22;244;
ำ6385;ำ6;ฯหส;01.06.24;95หอ/22;136;
ะร825;ะร;ลสม;01.06.24;;50;
ิย6352;ิย;อฦั;01.06.24;;0;
ัำ1401;ัำ;ลสม;01.06.24;;149;
ำ6219;ำ6;ลสม;01.06.24;95หอ/22;164;
ำ6547;ำ6;ฯหส;01.06.24;95หอ/22;245;
2S372;2S;ัสื;01.06.24;สหึ-696-22-P07;0;
SZ216;SZ;ภหภ;01.06.24;338ภะ/21;194;
ำ6508;ำ6;ัฮื;01.06.24;95หอ/22;110;
ำ62928;ำ6;ฤุม;01.06.24;95หอ/22;165;
ัำ1357;ัำ;รัย;01.06.24;;154;
Þา262;Þา;ลสม;01.06.24;;71;
5อ532;5อ;ัสื;01.06.24;;185;
ั75336;ั7;อำะ;01.06.24;;0;
ำ62427;ำ6;ฦำส;01.06.24;95หอ/22;223;
SZ212;SZ;ัสื;01.06.24;;201;
ย28103;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;188;
ศอ1924;ศอ;รัย;01.06.24;;103;
ำ6407;ำ6;ฤฬฤ;01.06.24;95หอ/22;221;
ิย6418;ิย;ลสม;01.06.24;;0;
5อ510;5อ;อฦั;01.06.24;;187;
ำ6222;ำ6;ัฮื;01.06.24;95หอ/22;151;
ำ69301;ำ6;ลสม;01.06.24;95หอ/22;0;
Þย454;Þย;ลสม;01.06.24;;38;
ัำ1521;ัำ;อำะ;01.06.24;;148;
5G171;5G;รัย;01.06.24;;135;
ย2937;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;83;
ฤะ594;ฤะ;รัย;01.06.24;;167;
ัำ1219;ัำ;ัสื;01.06.24;;141;
ัำ1417;ัำ;ลสม;01.06.24;;162;
ย2939;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;92;
ำ6234;ำ6;ัฮื;01.06.24;95หอ/22;146;
ย2951;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;128;
หภ385;หภ;อำะ;01.06.24;;178;
าศ919;าศ;ลสม;01.06.24;;28;
ำ6083;ำ6;ลสม;01.06.24;95หอ/22;160;
ำ6174;ำ6;ลสม;01.06.24;95หอ/22;166;
5อ513;5อ;ฯหส;01.06.24;;147;
ำ62633;ำ6;ฤฬฤ;01.06.24;95หอ/22;195;
ำ6205;ำ6;ลสม;01.06.24;95หอ/22;156;
ำ6269;ำ6;ฤฬฤ;01.06.24;95หอ/22;162;
Þา282;Þา;ัสื;01.06.24;;69;
ศอ1082;ศอ;อำะ;01.06.24;;94;
5อ148;5อ;ฯหส;01.06.24;;142;
ั75018;ั7;ลสม;01.06.24;;0;
ะฤ1827;ะฤ;รัย;01.06.24;;92;
Þย454;Þย;ะฬฮ;01.06.24;;24;
ำ6300;ำ6;ลสม;01.06.24;95หอ/22;137;
ำ6321;ำ6;ลสม;01.06.24;95หอ/22;164;
ัำ2919;ัำ;ลสม;01.06.24;;160;
ำ6391;ำ6;ฯหส;01.06.24;95หอ/22;233;
ำ62951;ำ6;ลสม;01.06.24;95หอ/22;135;
ย28755;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;86;
ั75032;ั7;ัสื;01.06.24;;0;
ย2949;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;83;
ฤ2183;ฤ2;ลสม;01.06.24;;40;
ัำ1685;ัำ;ัสื;01.06.24;;139;
ำ6347;ำ6;ฤฬฤ;01.06.24;95หอ/22;165;
Þา186;Þา;อำะ;01.06.24;;168;
5อ597;5อ;ฯหส;01.06.24;;184;
ัำ2973;ัำ;อฦั;01.06.24;;153;
ำ62414;ำ6;มศุ;01.06.24;95หอ/22;161;
ำะ1037;ำะ;ลสม;01.06.24;;340;
หภ146;หภ;อำะ;01.06.24;;88;
ำ6431;ำ6;ฤฬฤ;01.06.24;95หอ/22;238;
ำ62954;ำ6;ฤุม;01.06.24;95หอ/22;135;
ิย5571;ิย;ลสม;01.06.24;;193;
5อ547;5อ;ฯหส;01.06.24;;183;
5อ517;5อ;ฯหส;01.06.24;;181;
ำ6278;ำ6;ัฮื;01.06.24;95หอ/22;204;
ัำ1403;ัำ;ลสม;01.06.24;;150;
5อ581;5อ;ฯหส;01.06.24;;185;
ำ6154;ำ6;ฬะย;01.06.24;95หอ/22;195;
ำ6664;ำ6;ลสม;01.06.24;95หอ/22;129;
ิย6254;ิย;อฦั;01.06.24;;0;
ัำ2957;ัำ;ัสื;01.06.24;;152;
A46055;A4;รัย;01.06.24;;0;
ัำ800;ัำ;อฦั;01.06.24;;149;
ย28153;ย2;ยศา;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;192;
ำ69382;ำ6;ะฮย;01.06.24;95หอ/22;0;
ิย6234;ิย;ัสื;01.06.24;;0;
Þย591;Þย;ัสื;01.06.24;;39;
ำ68446;ำ6;ฤุม;01.06.24;95หอ/22;215;
ำ6385;ำ6;ลสม;01.06.24;95หอ/22;177;
ย2963;ย2;มะา;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;71;
ัำ1213;ัำ;ัสื;01.06.24;;131;
ำ6167;ำ6;ฤฬฤ;01.06.24;95หอ/22;200;
ำ6220;ำ6;ัฮื;01.06.24;95หอ/22;164;
ศอ1103;ศอ;ลสม;01.06.24;;77;
ั75020;ั7;ลสม;01.06.24;;0;
ำ6266;ำ6;ลสม;01.06.24;95หอ/22;155;
ำ6408;ำ6;ัฮื;01.06.24;95หอ/22;204;
ย28203;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;189;
ำ6173;ำ6;ฯหส;01.06.24;95หอ/22;151;
ำ6461;ำ6;ฤฬฤ;01.06.24;95หอ/22;164;
Þา1105;Þา;ลสม;01.06.24;;48;
ำ62879;ำ6;ฯหส;01.06.24;95หอ/22;232;
ัำ1227;ัำ;อฦั;01.06.24;;135;
ำ62461;ำ6;ฦำส;01.06.24;95หอ/22;222;
ำ6548;ำ6;ัฮื;01.06.24;95หอ/22;212;
ฤะ424;ฤะ;ัสื;01.06.24;;182;
ำ62428;ำ6;ฤุม;01.06.24;95หอ/22;216;
ย2925;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;167;
ำ62634;ำ6;วยะ;01.06.24;95หอ/22;211;
ัำ1021;ัำ;ลสม;01.06.24;;131;
ำ6299;ำ6;ฤฬฤ;01.06.24;95หอ/22;157;
ย2945;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;83;
ศอ4657;ศอ;อฦั;01.06.24;;73;
SZ105;SZ;ฤุม;01.06.24;338ภะ/21;186;
ั71074;ั7;ัสื;01.06.24;;0;
ำ6206;ำ6;ฬะย;01.06.24;95หอ/22;125;
Þย289;Þย;ะฬฮ;01.06.24;;43;
ย2977;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;134;
ำ62952;ำ6;มภส;01.06.24;95หอ/22;74;
5อ150;5อ;ฯหส;01.06.24;;146;
5อ582;5อ;ัสื;01.06.24;;180;
ั71238;ั7;รัย;01.06.24;สหึ-696-22-P07;0;
ำ6270;ำ6;ลสม;01.06.24;95หอ/22;156;
5อ874;5อ;อฦั;01.06.24;;183;
ฤะ6864;ฤะ;รัย;01.06.24;;190;
ำ6348;ำ6;ฬะย;01.06.24;95หอ/22;136;
Þย204;Þย;ะฬฮ;01.06.24;;23;
ัำ1359;ัำ;รัย;01.06.24;;160;
ัำ1405;ัำ;ลสม;01.06.24;;148;
ิย6108;ิย;อฦั;01.06.24;สหึ-696-22-P07;0;
ำ6322;ำ6;ัฮื;01.06.24;95หอ/22;160;
SZ201;SZ;ฤุม;01.06.24;338ภะ/21;191;
ย28115;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;185;
Þย9831;Þย;ัสื;01.06.24;;42;
สห440;สห;อฦั;01.06.24;;361;
Þา112;Þา;ลสม;01.06.24;;48;
ัำ1717;ัำ;ลสม;01.06.24;;133;
ำ6224;ำ6;ฯหส;01.06.24;95หอ/22;139;
ำ6432;ำ6;ัฮื;01.06.24;95หอ/22;193;
ัำ1215;ัำ;ัสื;01.06.24;;133;
ศอ1048;ศอ;รัย;01.06.24;;75;
ำ6105;ำ6;ฤฬฤ;01.06.24;95หอ/22;236;
5อ503;5อ;ฯหส;01.06.24;;146;
ิย6350;ิย;อฦั;01.06.24;;0;
ย2955;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;95;
ำ6093;ำ6;ฤฬฤ;01.06.24;95หอ/22;162;
ิย6404;ิย;ลสม;01.06.24;;0;
5อ296;5อ;ฯหส;01.06.24;;174;
5อ520;5อ;ฯหส;01.06.24;;161;
ำ62733;ำ6;ฯหส;01.06.24;95หอ/22;204;
Þา478;Þา;ัสื;01.06.24;;100;
ำ6534;ำ6;ัฮื;01.06.24;95หอ/22;163;
ำ6241;ำ6;ฤฬฤ;01.06.24;95หอ/22;157;
ำ62145;ำ6;ฦำส;01.06.24;95หอ/22;153;
ฤะ572;ฤะ;ัสื;01.06.24;;187;
ำ6263;ำ6;ฤฬฤ;01.06.24;95หอ/22;157;
ำ62447;ำ6;ฦำส;01.06.24;95หอ/22;216;
ำ62753;ำ6;ลสม;01.06.24;95หอ/22;169;
5อ533;5อ;ฯหส;01.06.24;;182;
A46056;A4;รัย;01.06.24;สหึ-696-22-P07;0;
ฤ2182;ฤ2;ลสม;01.06.24;;38;
Þย9832;Þย;ลสม;01.06.24;;0;
SZ6415;SZ;ฤุม;01.06.24;338ภะ/21;165;
ฤะ578;ฤะ;รัย;01.06.24;;166;
ัำ1415;ัำ;ลสม;01.06.24;;166;
ำ62263;ำ6;ัฮื;01.06.24;95หอ/22;163;
ิย6792;ิย;ลสม;01.06.24;;0;
A46117;A4;ัสื;01.06.24;;0;
ำ6173;ำ6;ลสม;01.06.24;95หอ/22;153;
ั75072;ั7;ฮอร;01.06.24;;0;
ย2979;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;55;
ฤะ422;ฤะ;ัสื;01.06.24;;183;
ำ6462;ำ6;ัฮื;01.06.24;95หอ/22;159;
ำ62007;ำ6;ลสม;01.06.24;95หอ/22;141;
ำ62441;ำ6;ฦำส;01.06.24;95หอ/22;227;
ำ62963;ำ6;ลสม;01.06.24;95หอ/22;134;
ัำ1605;ัำ;ัสื;01.06.24;;128;
ำ6265;ำ6;ฤฬฤ;01.06.24;95หอ/22;145;
ัำ792;ัำ;ลสม;01.06.24;;158;
ำ62969;ำ6;ฤฬฤ;01.06.24;95หอ/22;229;
ำ6299;ำ6;ลสม;01.06.24;95หอ/22;163;
Þา358;Þา;ัสื;01.06.24;;115;
ั75034;ั7;ัสื;01.06.24;;0;
ฤ2122;ฤ2;ฯหส;01.06.24;;46;
ำ6651;ำ6;ฤฬฤ;01.06.24;95หอ/22;166;
ฤะ476;ฤะ;รัย;01.06.24;;184;
ัำ1419;ัำ;ลสม;01.06.24;;121;
ิย6236;ิย;อฦั;01.06.24;;0;
ย2735;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;104;
ย2739;ย2;ฬศส;01.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;139;
ำ62127;ำ6;ฤฬฤ;01.06.24;95หอ/22;221;
ิย6102;ิย;อฦั;01.06.24;;0;
ำ6387;ำ6;ฤฬฤ;01.06.24;95หอ/22;219;
สห422;สห;ัสื;01.06.24;;274;
ศอ1011;ศอ;ลสม;01.06.24;;86;
าศ920;าศ;ลสม;01.06.24;;57;
ำ6624;ำ6;ลสม;01.06.24;95หอ/22;133;
ำ62425;ำ6;ฦำส;01.06.24;95หอ/22;224;
ศอ2003;ศอ;ลสม;01.06.24;;85;
ำ62880;ำ6;ฤุม;01.06.24;95หอ/22;227;
ำ6271;ำ6;ฤฬฤ;01.06.24;95หอ/22;150;
ำ62641;ำ6;ฯหส;01.06.24;95หอ/22;251;
ำ62903;ำ6;ลสม;01.06.24;95หอ/22;144;
ศล5617;ศล;ฯะห;02.06.24;;0;
ำ62909;ำ6;ฤฬฤ;02.06.24;95หอ/22;245;
ิย5965;ิย;อฦั;02.06.24;;190;
ำะ1023;ำะ;ัสื;02.06.24;;238;
ำ62803;ำ6;ฤฬฤ;02.06.24;95หอ/22;228;
2S040;2S;ฮอร;02.06.24;สหึ-696-22-P07;0;
ำ62146;ำ6;มภส;02.06.24;95หอ/22;103;
Þย9441;Þย;อฦั;02.06.24;;0;
5อ577;5อ;ฯหส;02.06.24;;146;
ำ62662;ำ6;ฤุม;02.06.24;95หอ/22;133;
ำ62806;ำ6;ฮุุ;02.06.24;95หอ/22;165;
ย2737;ย2;ฬศส;02.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;102;
ำ61333;ำ6;ัฮื;02.06.24;95หอ/22;147;
5อ501;5อ;ฯหส;02.06.24;;147;
5อ591;5อ;ฯหส;02.06.24;;187;
ั76366;ั7;มรู;02.06.24;;0;
Þา418;Þา;ัสื;02.06.24;;100;
ำ63573;ำ6;ฤฬฤ;02.06.24;95หอ/22;217;
ำ62448;ำ6;ฮุุ;02.06.24;95หอ/22;204;
2S126;2S;ลสม;02.06.24;;0;
5อ527;5อ;ฯหส;02.06.24;;186;
ย28105;ย2;ฬศส;02.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;191;
ำ6106;ำ6;ศสา;02.06.24;95หอ/22;213;
ั75210;ั7;มรู;02.06.24;;0;
ั75250;ั7;ฯะห;02.06.24;;0;
ำ62734;ำ6;ฮุุ;02.06.24;95หอ/22;204;
ศล4702;ศล;มรู;02.06.24;;10;
ำะ843;ำะ;อฦั;02.06.24;;241;
ำ62442;ำ6;ฤุม;02.06.24;95หอ/22;220;
ำ62970;ำ6;สหม;02.06.24;95หอ/22;202;
ิย6652;ิย;ลสม;02.06.24;สหึ-696-22-P07;0;
ำ6094;ำ6;ัีา;02.06.24;95หอ/22;155;
ำะ841;ำะ;ลสม;02.06.24;;342;
ิย6256;ิย;มรู;02.06.24;;0;
XC8062;XC;ัสื;02.06.24;;0;
ำ6388;ำ6;ฮฬั;02.06.24;95หอ/22;202;
5อ294;5อ;ลสม;02.06.24;;183;
ฤะ6542;ฤะ;ลสม;02.06.24;;181;
ัำ1731;ัำ;ฯะห;02.06.24;;372;
ำ6145;ำ6;ัสื;02.06.24;95หอ/22;159;
ะฤ177;ะฤ;มรู;02.06.24;;103;
ัำ2817;ัำ;ลสม;02.06.24;;127;
ำ6523;ำ6;ลสม;02.06.24;95หอ/22;159;
ย2775;ย2;ฬศส;02.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;78;
ฤะ404;ฤะ;ลสม;02.06.24;;187;
ฤะ516;ฤะ;ลสม;02.06.24;;172;
ย28225;ย2;ฬศส;02.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;188;
ำ62904;ำ6;ฮุุ;02.06.24;95หอ/22;117;
ำ62985;ำ6;ลสม;02.06.24;95หอ/22;169;
ิย6402;ิย;ลสม;02.06.24;;0;
ำ6171;ำ6;ฤฬฤ;02.06.24;95หอ/22;164;
ำ6251;ำ6;ลสม;02.06.24;95หอ/22;149;
ำ62426;ำ6;ีฤา;02.06.24;95หอ/22;198;
ำ62411;ำ6;ฤฬฤ;02.06.24;95หอ/22;243;
ำ6264;ำ6;ลสม;02.06.24;95หอ/22;136;
Þย275;Þย;ัสื;02.06.24;;30;
ฤะ340;ฤะ;ลสม;02.06.24;;185;
ั73062;ั7;มรู;02.06.24;สหึ-696-22-P07;0;
ิย6232;ิย;ัสื;02.06.24;;0;
ั75016;ั7;ลสม;02.06.24;;0;
ัำ1407;ัำ;ลสม;02.06.24;;156;
ำ62167;ำ6;ฦำส;02.06.24;95หอ/22;221;
ำ6623;ำ6;ัีา;02.06.24;95หอ/22;126;
5อ502;5อ;ลสม;02.06.24;;147;
ำ6300;ำ6;มรู;02.06.24;95หอ/22;159;
ำ6386;ำ6;ฯะห;02.06.24;95หอ/22;134;
ำ6174;ำ6;ีมะ;02.06.24;95หอ/22;163;
ำ6307;ำ6;ฦำส;02.06.24;95หอ/22;160;
ิย6490;ิย;รัย;02.06.24;;0;
ัำ1217;ัำ;ัสื;02.06.24;;146;
ำ62910;ำ6;ฮุุ;02.06.24;95หอ/22;234;
ำ62642;ำ6;ีฤา;02.06.24;95หอ/22;152;
ำ62804;ำ6;มศุ;02.06.24;95หอ/22;204;
ำ6305;ำ6;ลสม;02.06.24;95หอ/22;160;
Þย336;Þย;อำะ;02.06.24;;42;
SZ333;SZ;ฤุม;02.06.24;338ภะ/21;194;
ัำ2961;ัำ;ลสม;02.06.24;;150;
สห504;สห;ลสม;02.06.24;;360;
หภ089;หภ;อำะ;02.06.24;;153;
ำ6123;ำ6;ฯหส;02.06.24;95หอ/22;242;
ศอ3037;ศอ;ลสม;02.06.24;;410;
ำ6262;ำ6;ลสม;02.06.24;95หอ/22;128;
ิย6348;ิย;อฦั;02.06.24;;0;
ัำ1437;ัำ;ลสม;02.06.24;;139;
ั72572;ั7;อำะ;02.06.24;;0;
ำ62661;ำ6;ัฮื;02.06.24;95หอ/22;163;
A46118;A4;ัสื;02.06.24;;0;
ำ6161;ำ6;ฤฬฤ;02.06.24;95หอ/22;163;
ำ62949;ำ6;ลสม;02.06.24;95หอ/22;141;
ัำ630;ัำ;ลสม;02.06.24;;124;
ย2981;ย2;ฬศส;02.06.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;56;
ศล4703;ศล;มรู;02.06.24;;39;
SZ209;SZ;ฤุม;02.06.24;338ภะ/21;191;
ฤ2323;ฤ2;ฯหส;02.06.24;;53;
หภ9717;หภ;ลสม;02.06.24;;4;
ัำ1523;ัำ;อำะ;02.06.24;;134;
ัำ1735;ัำ;ฯะห;02.06.24;;364;
ศอ1001;ศอ;ลสม;02.06.24;;62;
ะร835;ะร;ลสม;02.06.24;;39;
ศอ1087;ศอ;ลสม;02.06.24;;55;
ศอ1323;ศอ;ัสื;02.06.24;;102;
ัำ796;ัำ;ัสื;02.06.24;;148;
Þา542;Þา;อำะ;02.06.24;;156;
ำ6272;ำ6;ลสม;02.06.24;95หอ/22;133;
ะร277;ะร;ฯหส;02.06.24;;22;
หภ845;หภ;อำะ;02.06.24;;90;
Þย275;Þย;ะฬฮ;02.06.24;;4;
