อ๎์ๅ๐ ๐ๅ้๑เ;ส๎ไ เ/๊;ส๎ไ เ/๏;ฤเ๒เ โ๛๋ๅ๒เ;น ไ๎ใ๎โ๎๐เ;ส๎๋-โ๎ ๏เ๑๑.;
ำ62428;ำ6;ฤุม;01.02.24;95หอ/22;199;
ฤะ6862;ฤะ;รัย;01.02.24;;189;
หภ146;หภ;อำะ;01.02.24;;80;
ิย5569;ิย;ลสม;01.02.24;;191;
ำ6431;ำ6;ฤฬฤ;01.02.24;95หอ/22;213;
5อ517;5อ;ฯหส;01.02.24;;174;
5อ581;5อ;ฯหส;01.02.24;;188;
ย2983;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;74;
Þย299;Þย;ลสม;01.02.24;;14;
ัำ1227;ัำ;อฦั;01.02.24;;129;
Þย206;Þย;ะฬฮ;01.02.24;;34;
สห1421;สห;ัสื;01.02.24;;149;
ิย6418;ิย;ลสม;01.02.24;;0;
A46207;A4;ัสื;01.02.24;;0;
ำ6798;ำ6;DWC;01.02.24;95หอ/22;139;
ัำ1403;ัำ;ลสม;01.02.24;;169;
ำ68446;ำ6;ฤุม;01.02.24;95หอ/22;214;
Þา1302;Þา;ลสม;01.02.24;;67;
ำ6378;ำ6;ัฮื;01.02.24;95หอ/22;212;
ำ62879;ำ6;ฯหส;01.02.24;95หอ/22;203;
ั71076;ั7;ัสื;01.02.24;;0;
Þย299;Þย;ะฬฮ;01.02.24;;11;
ัำ1213;ัำ;ัสื;01.02.24;;155;
ำ6266;ำ6;ลสม;01.02.24;95หอ/22;212;
ำ62953;ำ6;ลสม;01.02.24;95หอ/22;123;
ำ6173;ำ6;ลสม;01.02.24;95หอ/22;173;
ฤะ424;ฤะ;ัสื;01.02.24;;185;
Þา1105;Þา;ลสม;01.02.24;;59;
SZ201;SZ;ฤุม;01.02.24;338ภะ/21;188;
ำ62461;ำ6;ฦำส;01.02.24;95หอ/22;149;
ย2955;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;62;
ั71238;ั7;รัย;01.02.24;;0;
ำ6571;ำ6;ฯหส;01.02.24;95หอ/22;148;
ำ6267;ำ6;ฤฬฤ;01.02.24;95หอ/22;154;
ย2945;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;86;
ย2977;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;108;
5G121;5G;อฦั;01.02.24;;71;
5อ582;5อ;ัสื;01.02.24;;186;
ำ6080;ำ6;ฯหส;01.02.24;95หอ/22;157;
ฤะ422;ฤะ;ัสื;01.02.24;;178;
ำ6299;ำ6;ลสม;01.02.24;95หอ/22;128;
A46056;A4;รัย;01.02.24;;0;
ำ6270;ำ6;ลสม;01.02.24;95หอ/22;148;
ัำ1359;ัำ;รัย;01.02.24;;147;
SZ203;SZ;ฤุม;01.02.24;338ภะ/21;194;
ศอ1301;ศอ;ัสื;01.02.24;;16;
ำ6349;ำ6;ฤฬฤ;01.02.24;95หอ/22;170;
Þา112;Þา;ลสม;01.02.24;;70;
ิย6108;ิย;อฦั;01.02.24;สหึ-696-22-P07;0;
ัำ1225;ัำ;อฦั;01.02.24;;138;
ำ62941;ำ6;ศสา;01.02.24;95หอ/22;114;
ำ6432;ำ6;ัฮื;01.02.24;95หอ/22;203;
ำ62866;ำ6;ฤุม;01.02.24;95หอ/22;155;
ย2985;ย2;รฬห;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;79;
Þา478;Þา;ัสื;01.02.24;;123;
ำ6624;ำ6;ลสม;01.02.24;95หอ/22;159;
ฤะ572;ฤะ;ัสื;01.02.24;;176;
ย2775;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;104;
ฤะ578;ฤะ;รัย;01.02.24;;162;
ัำ1215;ัำ;ัสื;01.02.24;;154;
ำ6263;ำ6;ฤฬฤ;01.02.24;95หอ/22;201;
ำ62447;ำ6;ฦำส;01.02.24;95หอ/22;138;
ำ62961;ำ6;ลสม;01.02.24;95หอ/22;89;
ิย6404;ิย;ลสม;01.02.24;;0;
A46208;A4;ัสื;01.02.24;;0;
ำ62769;ำ6;ฤฬฤ;01.02.24;95หอ/22;105;
ำ62977;ำ6;ัสื;01.02.24;95หอ/22;81;
ำ69861;ำ6;ฤฬฤ;01.02.24;95หอ/22;0;
ั75020;ั7;ลสม;01.02.24;;0;
ัำ626;ัำ;ลสม;01.02.24;;298;
ำ6571;ำ6;ลสม;01.02.24;95หอ/22;159;
ฤะ476;ฤะ;รัย;01.02.24;;188;
ิย6236;ิย;อฦั;01.02.24;;0;
ำ62954;ำ6;ฤุม;01.02.24;95หอ/22;218;
5อ150;5อ;ฯหส;01.02.24;;147;
ำ62441;ำ6;ฦำส;01.02.24;95หอ/22;225;
ำ6246;ำ6;ลสม;01.02.24;95หอ/22;159;
ำ68973;ำ6;ฤฬฤ;01.02.24;95หอ/22;127;
ำ6265;ำ6;ฤฬฤ;01.02.24;95หอ/22;132;
ำ62969;ำ6;ฤฬฤ;01.02.24;95หอ/22;119;
ำ6651;ำ6;ฤฬฤ;01.02.24;95หอ/22;149;
ิห2035;ิห;ะฮย;01.02.24;;0;
Þา358;Þา;ัสื;01.02.24;;180;
ำ62803;ำ6;ฤฬฤ;01.02.24;95หอ/22;206;
Þย581;Þย;อฦั;01.02.24;;9;
ย2735;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;71;
ำ62880;ำ6;ฤุม;01.02.24;95หอ/22;219;
ำ62127;ำ6;ฤฬฤ;01.02.24;95หอ/22;197;
ำ6387;ำ6;ฤฬฤ;01.02.24;95หอ/22;203;
ย2737;ย2;ฬศส;01.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;86;
ำ62425;ำ6;ฦำส;01.02.24;95หอ/22;136;
2S1714;2S;ลสม;01.02.24;;0;
ำ6271;ำ6;ฤฬฤ;01.02.24;95หอ/22;146;
ำ62909;ำ6;ฤฬฤ;01.02.24;95หอ/22;125;
ศอ1034;ศอ;ัสื;02.02.24;;63;
ศอ1089;ศอ;ลสม;02.02.24;;89;
ย29307;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;168;
ำ62828;ำ6;ีฤา;02.02.24;95หอ/22;162;
ำะ4123;ำะ;ัสื;02.02.24;;339;
ั76216;ั7;ฯะห;02.02.24;;0;
ำ6174;ำ6;ีมะ;02.02.24;95หอ/22;144;
ำ62806;ำ6;ฮุุ;02.02.24;95หอ/22;151;
ั76366;ั7;มรู;02.02.24;สหึ-696-22-P07;0;
ย2727;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;127;
ั75212;ั7;มรู;02.02.24;;0;
ำ62978;ำ6;ีฤา;02.02.24;95หอ/22;152;
ำ68253;ำ6;ฤฬฤ;02.02.24;95หอ/22;176;
5อ501;5อ;ฯหส;02.02.24;;178;
ำ6300ฤ;ำ6;มรู;02.02.24;95หอ/22;0;
ำ62942;ำ6;ฤุม;02.02.24;95หอ/22;147;
5อ591;5อ;ฯหส;02.02.24;;185;
ัำ652;ัำ;ลสม;02.02.24;;298;
ำ6623;ำ6;ัีา;02.02.24;95หอ/22;148;
5อ527;5อ;ฯหส;02.02.24;;190;
ำ62770;ำ6;สหม;02.02.24;95หอ/22;215;
ำ62448;ำ6;ฮุุ;02.02.24;95หอ/22;221;
ั75250;ั7;ฯะห;02.02.24;;0;
ำ62709;ำ6;ฤฬฤ;02.02.24;95หอ/22;134;
ำ62442;ำ6;ฤุม;02.02.24;95หอ/22;218;
ำ68974;ำ6;ีฤา;02.02.24;95หอ/22;243;
ำ62970;ำ6;สหม;02.02.24;95หอ/22;227;
ำ6652;ำ6;มภอ;02.02.24;95หอ/22;161;
ำ6388;ำ6;ฮฬั;02.02.24;95หอ/22;203;
ศอ3045;ศอ;ลสม;02.02.24;;410;
ำ62804;ำ6;มศุ;02.02.24;95หอ/22;220;
ะฤ105;ะฤ;มรู;02.02.24;;86;
ฤะ404;ฤะ;ลสม;02.02.24;;188;
ฤะ516;ฤะ;ลสม;02.02.24;;186;
ำ6350;ำ6;มรู;02.02.24;95หอ/22;141;
ศอ4195;ศอ;ลสม;02.02.24;;47;
SZ103;SZ;ฤุม;02.02.24;338ภะ/21;181;
ำ62949;ำ6;ลสม;02.02.24;95หอ/22;134;
ฤะ340;ฤะ;ลสม;02.02.24;;184;
ิย6402;ิย;ลสม;02.02.24;;0;
ัำ1731;ัำ;ฯะห;02.02.24;;396;
ำ67019;ำ6;ฦำส;02.02.24;95หอ/22;216;
ศล5615;ศล;ฯะห;02.02.24;;0;
ำ62426;ำ6;ีฤา;02.02.24;95หอ/22;165;
ำ62685;ำ6;ฬะย;02.02.24;95หอ/22;79;
ำ6264;ำ6;ลสม;02.02.24;95หอ/22;136;
ฤะ6542;ฤะ;ลสม;02.02.24;;180;
สห258;สห;ัสื;02.02.24;;218;
ั73062;ั7;มรู;02.02.24;;0;
ัำ1217;ัำ;ัสื;02.02.24;;153;
ัำ1417;ัำ;ลสม;02.02.24;;133;
ัำ2817;ัำ;ลสม;02.02.24;;157;
5อ502;5อ;ลสม;02.02.24;;179;
Þย275;Þย;ัสื;02.02.24;;23;
ัำ2961;ัำ;ลสม;02.02.24;;160;
ำ62910;ำ6;ฮุุ;02.02.24;95หอ/22;218;
5อ294;5อ;ลสม;02.02.24;;189;
SZ333;SZ;ฤุม;02.02.24;338ภะ/21;195;
ศอ1256;ศอ;ัสื;02.02.24;;46;
หภ089;หภ;อำะ;02.02.24;;59;
ำ6262;ำ6;ลสม;02.02.24;95หอ/22;203;
ศล4610;ศล;ฯะห;02.02.24;;60;
ั72572;ั7;อำะ;02.02.24;;0;
SZ002;SZ;ฤุม;02.02.24;338ภะ/21;149;
ัำ630;ัำ;ลสม;02.02.24;;153;
ำ68254;ำ6;ฤุม;02.02.24;95หอ/22;211;
ย2981;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;46;
ัำ1523;ัำ;อำะ;02.02.24;;183;
ำ6193;ำ6;ฤฬฤ;02.02.24;95หอ/22;219;
Þย274;Þย;ัสื;02.02.24;;11;
ำ6272;ำ6;ลสม;02.02.24;95หอ/22;155;
หภ845;หภ;อำะ;02.02.24;;100;
ย2975;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;57;
ศล5685;ศล;ฯะห;02.02.24;;0;
Þย275;Þย;ะฬฮ;02.02.24;;5;
ศอ1029;ศอ;ลสม;02.02.24;;95;
หภ222;หภ;อำะ;02.02.24;;91;
ำ62431;ำ6;ฦำส;02.02.24;95หอ/22;82;
Þย9752;Þย;ัสื;02.02.24;;0;
ย2941;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;59;
ำ6205;ำ6;ลสม;02.02.24;95หอ/22;129;
ำ62950;ำ6;วยะ;02.02.24;95หอ/22;132;
ำ6273;ำ6;ฤฬฤ;02.02.24;95หอ/22;139;
หภ187;หภ;อำะ;02.02.24;;97;
ำ62710;ำ6;ฮุุ;02.02.24;95หอ/22;217;
ศอ1049;ศอ;ลสม;02.02.24;;89;
ำ62686;ำ6;ีฤา;02.02.24;95หอ/22;155;
5อ531;5อ;ฯหส;02.02.24;;192;
ศอ1097;ศอ;ลสม;02.02.24;;56;
หภ022;หภ;อำะ;02.02.24;;57;
ย2783;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;164;
ำ6174;ำ6;ลสม;02.02.24;95หอ/22;156;
ิย6880;ิย;มรู;02.02.24;;0;
ำ6797;ำ6;ฤฬฤ;02.02.24;95หอ/22;204;
ำ62985;ำ6;ลสม;02.02.24;95หอ/22;65;
Þา105;Þา;ลสม;02.02.24;;61;
ะฤ106;ะฤ;มรู;02.02.24;;49;
5อ505;5อ;ฯหส;02.02.24;;183;
ัำ1603;ัำ;ัสื;02.02.24;;138;
Þา281;Þา;ลสม;02.02.24;;68;
ิย6350;ิย;อฦั;02.02.24;สหึ-696-22-P07;0;
ั75336;ั7;อำะ;02.02.24;;0;
ำ6079;ำ6;ฤฬฤ;02.02.24;95หอ/22;221;
ำ6261;ำ6;ฤฬฤ;02.02.24;95หอ/22;142;
ำ6300;ำ6;ลสม;02.02.24;95หอ/22;160;
ำ62259;ำ6;ศสา;02.02.24;95หอ/22;105;
ย2957;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;49;
ัำ1357;ัำ;รัย;02.02.24;;151;
ัำ1411;ัำ;ลสม;02.02.24;;139;
ำ62633;ำ6;ฤฬฤ;02.02.24;95หอ/22;208;
ำ6547;ำ6;ฯหส;02.02.24;95หอ/22;211;
ำ6153;ำ6;ฤฬฤ;02.02.24;95หอ/22;203;
ำ6321;ำ6;ลสม;02.02.24;95หอ/22;219;
Þา186;Þา;อำะ;02.02.24;;114;
SZ225;SZ;ฤุม;02.02.24;338ภะ/21;182;
ย2949;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;84;
Þย276;Þย;อำะ;02.02.24;;26;
ศอ1344;ศอ;อฦั;02.02.24;;59;
หภ249;หภ;ลสม;02.02.24;;46;
ำ6451;ำ6;ฤฬฤ;02.02.24;95หอ/22;161;
ฤะ330;ฤะ;รัย;02.02.24;;191;
ำ62930;ำ6;ฤุม;02.02.24;95หอ/22;155;
ำ68445;ำ6;ฦำส;02.02.24;95หอ/22;203;
หภ221;หภ;ลสม;02.02.24;;81;
ศอ1050;ศอ;ฮอร;02.02.24;;101;
ำ6627;ำ6;ฤฬฤ;02.02.24;95หอ/22;238;
ย2965;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;49;
ัำ1221;ัำ;อฦั;02.02.24;;123;
ำ6220;ำ6;ัฮื;02.02.24;95หอ/22;211;
5อ545;5อ;ฯหส;02.02.24;;173;
5อ532;5อ;ัสื;02.02.24;;185;
ัำ1401;ัำ;ลสม;02.02.24;;167;
ฤะ422;ฤะ;ัสื;02.02.24;;174;
ำ6377;ำ6;ฤฬฤ;02.02.24;95หอ/22;231;
ศอ1916;ศอ;อำะ;02.02.24;;96;
5อ280;5อ;ัสื;02.02.24;;191;
ำ6391;ำ6;ฯหส;02.02.24;95หอ/22;231;
ลฮ809;ลฮ;อฦั;02.02.24;;0;
ำ6206;ำ6;ฬะย;02.02.24;95หอ/22;128;
ัำ2919;ัำ;ลสม;02.02.24;;157;
ย2951;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;88;
ัำ1605;ัำ;ัสื;02.02.24;;135;
ศอ1305;ศอ;ัสื;02.02.24;;85;
ย2939;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;90;
Þา282;Þา;ัสื;02.02.24;;70;
ำ6173;ำ6;ฯหส;02.02.24;95หอ/22;148;
ั75018;ั7;ลสม;02.02.24;;0;
ัำ1413;ัำ;ลสม;02.02.24;;163;
ิย6106;ิย;อฦั;02.02.24;สหึ-696-22-P07;0;
Þย276;Þย;ะฬฮ;02.02.24;;14;
ำ62432;ำ6;สหม;02.02.24;95หอ/22;221;
5อ509;5อ;ฯหส;02.02.24;;185;
ำ62986;ำ6;มศุ;02.02.24;95หอ/22;158;
ำ6299;ำ6;ฤฬฤ;02.02.24;95หอ/22;156;
ิย6949;ิย;ัสื;02.02.24;;0;
หภ377;หภ;อำะ;02.02.24;;92;
Þย246;Þย;ัสื;02.02.24;;48;
หภ385;หภ;อำะ;02.02.24;;129;
ำ6268;ำ6;ลสม;02.02.24;95หอ/22;130;
ศอ1045;ศอ;ลสม;02.02.24;;84;
ำ6572;ำ6;ลสม;02.02.24;95หอ/22;158;
ำ6437;ำ6;ฤฬฤ;02.02.24;95หอ/22;219;
ั75032;ั7;ัสื;02.02.24;;0;
ำ62634;ำ6;วยะ;02.02.24;95หอ/22;207;
ฤะ6862;ฤะ;รัย;02.02.24;;189;
หภ146;หภ;อำะ;02.02.24;;84;
5อ581;5อ;ฯหส;02.02.24;;184;
ำ6431;ำ6;ฤฬฤ;02.02.24;95หอ/22;216;
ิย6418;ิย;ลสม;02.02.24;;0;
5อ148;5อ;ฯหส;02.02.24;;185;
5อ503;5อ;ฯหส;02.02.24;;178;
ัำ1607;ัำ;ัสื;02.02.24;;123;
ำ6154;ำ6;ฬะย;02.02.24;95หอ/22;215;
ย2983;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;61;
ัำ1227;ัำ;อฦั;02.02.24;;135;
ำ6278;ำ6;ัฮื;02.02.24;95หอ/22;219;
ย2966;ย2;ลสม;02.02.24;;71;
ลฮ420;ลฮ;ัสื;02.02.24;;0;
ำ6548;ำ6;ัฮื;02.02.24;95หอ/22;233;
ำ62865;ำ6;ฬะย;02.02.24;95หอ/22;72;
ำ6798;ำ6;DWC;02.02.24;95หอ/22;210;
ำ62590;ำ6;ฮุุ;02.02.24;95หอ/22;161;
SZ041;SZ;ฤุม;02.02.24;338ภะ/21;189;
ัำ2973;ัำ;อฦั;02.02.24;;141;
Þา280;Þา;ลสม;02.02.24;;63;
Þา302;Þา;ลสม;02.02.24;;44;
ย29309;ย2;รฬห;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;176;
ำ6167;ำ6;ฤฬฤ;02.02.24;95หอ/22;197;
5อ510;5อ;อฦั;02.02.24;;187;
ัำ1403;ัำ;ลสม;02.02.24;;149;
ำ68446;ำ6;ฤุม;02.02.24;95หอ/22;217;
Þย586;Þย;ัสื;02.02.24;;29;
ำ6378;ำ6;ัฮื;02.02.24;95หอ/22;213;
Þย582;Þย;อฦั;02.02.24;;23;
ำ68531;ำ6;ฯหส;02.02.24;95หอ/22;136;
ั71076;ั7;ัสื;02.02.24;;0;
ัำ1213;ัำ;ัสื;02.02.24;;168;
ำ6095;ำ6;ัสื;02.02.24;95หอ/22;143;
ำ6266;ำ6;ลสม;02.02.24;95หอ/22;125;
ำ62953;ำ6;ลสม;02.02.24;95หอ/22;142;
ำ6173;ำ6;ลสม;02.02.24;95หอ/22;169;
ิย6238;ิย;ัสื;02.02.24;;0;
SZ201;SZ;ฤุม;02.02.24;338ภะ/21;198;
ำ62461;ำ6;ฦำส;02.02.24;95หอ/22;165;
ฤะ468;ฤะ;รัย;02.02.24;;186;
ย2955;ย2;ฬศส;02.02.24;3PSS/22-ฤ-1826/12.22 ๎๒ 20.12.2022;101;
ศอ1331;ศอ;ัสื;02.02.24;;73;
ั71238;ั7;รัย;02.02.24;;0;
ำ6267;ำ6;ฤฬฤ;02.02.24;95หอ/22;155;
ิย6114;ิย;อฦั;02.02.24;สหึ-696-22-P07;0;
5อ582;5อ;ัสื;02.02.24;;183;
